dms_orig,dms_dest,dms_mode,sctg2,tons_2015,value_2015
18,31,2,2,188.2178,60.0508
18,34,1,2,30.5873,0.0074
18,37,2,2,685.7493,154.9642
18,39,1,2,1297.5507,278.1208
18,39,2,2,261.8778,59.1287
18,42,1,2,18.6178,3.2449
18,42,2,2,279.2331,69.8445
18,45,2,2,122.1989,24.3805
18,46,1,2,59.1399,612.7821
18,47,2,2,136.5635,33.6498
18,51,2,2,112.4822,26.5233
18,55,1,2,38.902,9.2417
19,1,3,2,100.7581,22.4754
19,4,2,2,202.5873,59.926
19,12,5,2,0.0165,0.0063
19,17,1,2,483.9302,82.6582
19,18,5,2,0.0054,0.0037
19,19,1,2,90153.6172,18675.964
19,19,2,2,5409.8438,1441.5951
19,19,3,2,151.9879,45.2742
19,20,1,2,34.9752,11.4343
19,22,2,2,657.704,148.92
19,22,3,2,963.1969,268.6142
19,22,5,2,1019.639,271.1675
19,27,1,2,10894.6202,2004.2572
19,28,2,2,578.8599,118.2103
19,29,1,2,150.8228,33.7898
19,29,3,2,161.1921,49.1693
19,29,5,2,348.2158,109.9629
19,31,1,2,7402.6864,1345.1754
19,39,1,2,26.5586,10.6302
19,46,1,2,18.0565,15.8883
19,48,1,2,3.6731,4.6609
19,55,1,2,95.3652,75.9592
20,1,2,2,680.433,189.6083
20,5,1,2,299.9136,77.0679
20,5,2,2,365.761,108.1377
20,6,2,2,260.0609,76.306
20,13,2,2,37.4209,10.7885
20,17,1,2,0.3123,0.002
20,17,2,2,2275.5469,636.888
20,18,1,2,35.7246,9.6033
20,18,2,2,108.593,28.1544
20,19,1,2,13.8905,2.8782
20,20,1,2,54826.8454,12440.9198
20,20,2,2,890.7396,217.5793
20,25,2,2,116.6983,29.7696
20,28,1,2,1.0978,0.2574
20,29,1,2,768.1412,187.4079
20,29,2,2,964.0841,273.5414
20,31,1,2,4134.8574,881.0381
20,31,2,2,232.9621,60.8339
20,37,2,2,493.8143,145.992
20,40,1,2,889.6119,203.0117
20,41,2,2,370.1154,114.405
20,42,1,2,20.6665,3.8923
20,42,2,2,252.6791,69.3929
20,47,2,2,42.0191,10.6477
20,48,1,2,37.7222,9.2307
20,48,2,2,22646.9944,6132.9598
20,48,5,2,8331.0225,2201.6757
21,1,1,2,50.5766,13.2853
21,5,1,2,37.2917,11.2694
21,12,2,2,3.8066,0.5746
21,12,5,2,220.8806,57.1582
21,13,1,2,0.4547,0.132
21,13,2,2,16.6325,4.3838
21,17,1,2,77.947,19.0765
21,17,2,2,0.8106,0.5198
21,18,1,2,612.7742,127.5171
21,18,3,2,198.734,55.8976
21,21,1,2,5939.2145,1301.6718
21,21,2,2,211.8614,51.8973
21,22,3,2,1597.5682,641.7291
21,27,1,2,0.036,0.0009
21,37,1,2,0.8182,0.1095
21,39,1,2,94.1689,19.3217
21,47,1,2,44.2274,9.1297
21,47,2,2,17.7791,5.6508
21,47,3,2,87.9792,18.7917
21,51,1,2,0.284,0.0536
22,1,1,2,0.0969,0.0257
22,5,1,2,165.9413,39.6853
22,12,1,2,3.0191,0.6446
22,17,5,2,337.156,80.9047
22,22,1,2,5552.0319,1315.1313
22,22,3,2,132.0739,38.9558
22,27,3,2,7.1431,1.7348
22,27,5,2,0.8716,0.0007
22,28,1,2,1886.1404,417.0964
22,28,2,2,278.856,71.0904
22,48,1,2,687.8835,169.001
23,23,1,2,144.7611,15.6429
23,36,2,2,7.0786,1.1794
24,10,1,2,308.4024,71.7838
24,20,1,2,0.6617,0.0023
24,24,1,2,848.1281,182.5001
24,37,1,2,12.469,2.7885
